labRequiered level1 %10
Run;AvgWaitCrit;AvgWaitMod;AvgWaitMild;AvgTimeCrit;AvgTimeMod;AvgTimeMild;ImpatienceRatio(%);DoctorUtil(%);NurseUtil(%);Throughput
13;18.70;41.22;52.09;68.03;71.62;57.52;18.51;77.80;33.89;2511
14;19.96;45.24;56.16;68.45;72.59;60.04;21.24;73.57;34.76;2429
15;16.63;39.09;51.23;65.49;70.83;56.54;17.79;74.39;32.72;2392
16;17.17;37.49;54.27;64.37;69.28;55.64;17.61;75.34;35.01;2459
17;20.24;43.86;52.40;68.75;72.92;56.44;19.95;80.70;36.75;2459
18;21.42;42.58;53.77;70.55;69.73;59.59;20.76;74.07;32.67;2404
19;15.14;39.49;51.03;62.22;74.53;54.44;17.27;74.78;33.47;2397
20;16.37;38.62;49.38;61.02;69.93;54.60;17.35;74.68;33.10;2426
21;16.87;35.92;49.60;63.47;67.21;54.38;16.59;74.26;34.15;2537
22;16.66;38.29;54.40;66.54;67.91;58.49;19.18;73.61;34.90;2407
23;16.68;40.18;52.15;62.50;73.66;58.80;17.28;75.64;36.91;2517
24;18.75;40.16;52.73;64.83;71.12;58.07;18.05;75.42;34.22;2536
25;18.99;40.94;48.85;69.22;69.88;56.87;17.32;74.15;34.49;2469
26;16.91;39.36;48.97;65.36;70.06;54.90;18.05;73.46;34.56;2473
27;19.43;41.46;54.11;69.51;72.53;58.75;18.73;72.95;34.54;2415
28;18.25;37.71;49.35;68.65;68.25;59.07;17.45;72.47;31.88;2392
29;17.84;39.29;52.12;64.31;72.41;57.29;17.38;74.54;36.25;2483
30;15.59;41.06;49.51;63.39;73.43;51.62;18.09;71.67;33.71;2436
labRequiered level3 %50
Run;AvgWaitCrit;AvgWaitMod;AvgWaitMild;AvgTimeCrit;AvgTimeMod;AvgTimeMild;ImpatienceRatio(%);DoctorUtil(%);NurseUtil(%);Throughput
1;18.86;47.75;62.09;78.25;92.72;73.64;24.06;76.87;35.89;2369
2;21.05;45.29;57.06;85.68;88.66;81.85;21.67;82.45;33.96;2326
3;21.88;47.36;60.55;87.53;91.10;73.25;25.15;83.23;35.20;2283
4;20.22;45.13;59.35;78.59;88.28;73.42;22.36;78.01;37.08;2359
5;23.29;45.99;61.09;86.07;95.13;75.43;23.00;82.23;34.13;2331
6;19.89;44.86;57.50;80.16;87.33;73.91;21.72;77.99;34.83;2314
7;22.36;42.36;54.84;83.17;83.75;69.15;21.71;78.37;33.94;2306
8;18.77;44.82;56.72;79.84;89.88;68.98;22.16;79.78;34.90;2375
9;20.50;47.10;58.55;82.16;90.48;75.36;23.09;81.55;34.93;2347
10;19.04;47.96;59.23;82.03;88.90;75.65;22.95;80.80;32.69;2296
11;21.78;46.82;58.26;84.82;89.37;70.74;22.07;83.18;35.89;2332
12;27.27;46.04;59.23;90.77;89.16;77.02;23.22;81.52;34.12;2356
13;20.04;42.87;57.70;84.07;89.13;76.34;21.94;81.06;36.57;2378
14;18.68;43.08;57.12;78.97;85.07;72.53;21.44;78.06;34.22;2355
15;23.79;50.03;59.01;87.66;94.91;77.94;23.83;81.42;34.45;2320
16;17.59;44.83;60.94;77.03;87.99;73.62;23.57;77.90;35.55;2316
17;21.10;50.43;59.81;87.03;95.92;75.85;23.63;78.12;33.25;2281
18;27.34;47.05;57.37;88.75;85.57;72.85;24.93;78.73;33.92;2272
19;19.07;49.53;62.50;82.24;94.59;73.95;25.30;79.67;37.24;2266
20;20.13;43.83;57.65;79.21;91.65;74.82;21.16;80.28;35.45;2322
21;19.31;43.56;54.22;78.22;88.43;64.63;21.61;77.59;33.44;2277
22;23.48;42.67;54.78;86.13;85.07;69.31;22.36;77.21;34.14;2277
23;20.35;42.53;54.27;80.90;85.83;68.64;20.32;78.97;35.64;2313
24;23.51;50.69;63.26;88.00;91.27;78.14;26.09;77.54;34.08;2230
25;21.78;47.10;54.40;80.66;89.80;72.93;20.67;77.26;35.33;2294
26;19.41;43.11;55.54;81.30;87.11;72.39;21.26;80.13;35.42;2303
27;20.86;44.84;58.34;83.10;87.42;68.76;22.92;82.44;35.10;2331
28;24.46;47.49;58.16;89.58;88.66;71.19;23.67;80.92;35.11;2339
29;22.30;46.07;52.85;87.22;91.83;75.94;20.99;80.39;35.47;2365
30;20.82;43.84;57.95;83.07;91.16;74.25;21.49;85.58;36.72;2401
labRequiered level4 %70
Run;AvgWaitCrit;AvgWaitMod;AvgWaitMild;AvgTimeCrit;AvgTimeMod;AvgTimeMild;ImpatienceRatio(%);DoctorUtil(%);NurseUtil(%);Throughput
1;23.73;49.17;61.26;105.05;108.49;100.07;25.82;81.78;32.78;2177
2;24.67;54.78;67.58;103.45;121.63;117.85;27.94;85.76;36.06;2178
3;26.22;54.67;65.46;101.58;117.15;88.41;27.24;85.96;35.79;2192
4;23.24;51.52;63.17;103.54;122.60;107.00;25.92;84.10;33.92;2196
5;22.93;53.88;64.24;103.71;121.61;99.42;27.78;82.49;34.75;2151
6;20.11;50.59;58.00;97.83;115.42;80.42;25.62;81.14;33.02;2200
7;23.90;50.77;64.78;104.85;121.17;92.20;26.96;81.52;35.82;2206
8;24.69;51.94;65.71;104.66;112.62;95.67;26.61;86.00;35.93;2185
9;23.37;53.14;67.31;103.22;119.44;107.35;27.46;86.40;35.04;2198
10;26.21;52.81;64.07;107.68;115.60;100.04;28.68;82.50;33.30;2139
11;20.17;45.89;57.25;95.78;110.80;100.12;22.89;84.88;35.23;2244
12;20.70;47.70;63.71;98.92;117.98;121.32;26.04;84.78;32.97;2190
13;22.25;49.04;61.74;100.37;110.13;105.27;25.64;85.82;35.09;2229
14;20.25;54.04;62.65;95.94;118.21;91.35;27.81;84.40;36.84;2188
15;23.30;50.44;64.03;99.23;114.01;111.20;25.72;88.53;35.35;2253
16;23.84;52.90;64.81;110.81;116.23;91.14;26.96;83.57;34.99;2163
17;26.27;49.81;61.89;106.39;109.81;99.99;25.29;84.15;33.65;2236
18;21.70;49.62;62.74;102.60;123.78;125.71;25.04;84.09;34.24;2189
19;22.43;51.53;62.00;100.74;110.79;96.91;25.31;82.94;35.53;2227
20;25.48;51.30;61.13;105.35;114.11;96.54;26.51;82.45;34.20;2134
21;33.07;52.83;66.53;118.27;111.83;95.23;29.96;83.48;34.96;2129
22;32.44;53.25;62.66;110.55;113.96;101.48;27.90;84.11;34.29;2186
23;20.79;54.20;65.02;99.30;114.29;93.78;27.30;83.21;35.53;2200
24;21.52;47.21;59.96;96.13;105.90;94.12;24.31;82.78;36.53;2198
25;25.28;51.42;61.12;103.73;111.82;96.26;25.41;82.60;34.94;2208
26;22.43;47.11;62.16;101.92;117.53;112.54;23.70;87.82;36.64;2276
27;23.74;57.53;65.78;104.00;125.98;113.74;29.30;86.55;36.02;2187
28;19.54;51.63;62.78;100.06;119.03;103.46;25.41;85.89;35.25;2208
29;26.18;53.53;63.44;107.05;119.05;100.54;28.11;85.74;35.99;2173
30;27.17;52.41;63.76;108.07;112.26;89.25;28.06;80.74;35.37;2131
labRequiered level5 %90
Run;AvgWaitCrit;AvgWaitMod;AvgWaitMild;AvgTimeCrit;AvgTimeMod;AvgTimeMild;ImpatienceRatio(%);DoctorUtil(%);NurseUtil(%);Throughput
1;27.67;56.42;68.80;125.41;142.53;151.58;29.61;89.20;34.86;2067
2;34.23;63.75;70.76;132.09;158.83;190.70;33.20;88.43;35.49;2004
3;26.26;56.88;68.76;130.37;166.56;169.97;30.48;87.64;33.36;2047
4;31.44;56.74;68.21;131.93;152.24;154.67;29.91;87.53;33.40;2030
5;26.93;59.25;67.10;121.76;149.15;142.97;31.20;84.36;34.30;2053
6;24.94;57.90;70.15;124.31;154.61;163.06;32.52;87.97;35.95;2051
7;29.16;60.28;70.18;129.98;168.16;151.76;31.36;88.30;34.26;2027
8;29.56;57.35;68.89;126.85;147.47;169.36;30.91;88.89;34.51;2062
9;26.04;56.80;70.07;126.67;156.86;172.89;31.13;90.12;35.90;2100
10;33.11;64.95;69.95;134.24;164.50;184.96;34.40;89.08;35.27;2017
11;36.46;56.26;68.65;135.74;151.85;177.90;30.33;88.87;35.63;2100
12;29.74;55.87;71.09;128.84;144.26;133.16;30.79;88.70;34.36;2025
13;23.83;58.46;71.78;129.05;155.47;174.11;31.40;87.63;35.46;2055
14;25.56;56.71;65.63;129.37;151.28;140.25;30.56;86.62;34.48;2055
15;25.76;53.64;65.34;122.63;149.57;168.65;29.78;86.96;35.19;2030
16;26.65;57.08;69.01;121.39;149.13;160.57;31.06;90.66;34.58;2049
17;25.44;57.27;65.90;124.60;147.07;193.84;29.65;86.00;34.98;2083
18;25.27;56.60;65.00;117.61;146.15;150.47;29.10;88.71;34.65;2112
19;25.05;58.11;72.74;127.12;173.24;204.07;31.84;90.15;33.74;2024
20;33.84;57.62;66.65;136.62;145.61;145.73;30.87;89.31;35.37;2064
21;23.13;53.67;64.36;122.62;142.42;149.86;27.65;88.66;34.82;2142
22;24.87;57.42;67.05;118.65;150.12;144.21;29.38;89.16;35.60;2129
23;28.35;57.04;67.86;128.95;146.92;141.48;31.11;89.09;33.96;2023
24;25.56;57.59;66.99;118.30;165.19;163.92;29.69;89.37;34.79;2056
25;26.68;55.85;64.22;119.04;148.21;171.44;29.07;86.71;32.72;2061
26;25.39;56.59;66.87;118.78;148.14;133.54;29.79;84.27;35.23;2136
27;28.75;56.72;71.31;125.79;146.22;197.88;31.36;90.76;34.90;2064
28;22.32;58.59;68.93;121.16;147.94;128.44;31.46;88.23;34.80;2065
29;25.75;59.33;71.21;120.59;157.23;133.56;31.57;90.33;36.70;2090
30;29.62;58.86;69.06;128.20;144.25;158.71;31.63;88.79;34.20;2038
